Nazwa firmy,Tytuł oferty,Kategoria,Poziom doświadczenia,Umiejętności,Mile widziane umiejętności,Czas pracy,Typ miejsca pracy,Typ umowy,Widełki finansowe [PLN],Wynagrodzenie brutto,Województwo,Miasto,Ulica,Otwarte dla obywateli Ukrainy,Zdalna rozmowa kwalifikacyjna,Data publikacji oferty
Clurgo,Senior Expert Full Stack Developer (Java + React),6,senior,"JUnit, Java 11, Kubernetes, Mockito, React, Spring",,full_time,remote,B2B,26880.0-31920.0,False,mazowieckie,Warszawa,Jasna 14/16A,False,True,2025-02-26 10:00:17.176000+00:00
RedStone,DevOps Engineer at RedStone (AWS),12,mid,"Amazon AWS, Docker, GCP, GitHub, Grafana, InfluxDB, MongoDB, Node.js, TypeScript",,full_time,hybrid,B2B,20000.0-35000.0,False,mazowieckie,Warszawa,Zgoda 3,True,True,2025-02-26 10:00:17.176000+00:00
Connectis,Consultant Dynamics 365 F&O,22,mid,"BPMN, Dynamics 365 Finance & Operations, Enterprise Architect, Oracle, PL/SQL, SQL, UML",,full_time,hybrid,B2B,28000.0-32000.0,False,mazowieckie,Warszawa,Prosta 18,False,True,2025-02-26 09:58:55.957000+00:00
P&P Solutions,Specjalista Sharepoint,24,mid,"Android, SharePoint, iOS",,full_time,remote,B2B,20160.0-25200.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-26 09:53:02.576000+00:00
Experis Manpower Group,Application Developer (Apriso),1,mid,"Apriso, CSS, English, HTML, JavaScript, MS SQL",,full_time,remote,B2B,23520.0-28560.0,False,małopolskie,Kraków,Centru,False,True,2025-02-26 09:52:16.328000+00:00
Squiz,Front End Developer,1,mid,"CMS, CSS, HTML, JavaScript, React",,full_time,hybrid,Permanent,8000.0-13500.0,True,zachodniopomorskie,Szczecin,al. Wojska Polskiego 184c,True,True,2025-02-26 09:40:47.399000+00:00
emagine Polska,Senior AWS IAM Engineer,12,senior,"AWS, GitHub, IAM",,full_time,hybrid,B2B,33600.0-38640.0,False,mazowieckie,Warszawa,,False,False,2025-02-26 09:34:11.850000+00:00
IT SYSTEMS AND SOLUTIONS SP. Z O.O.,Administrator Infrastruktury IT (DevOps),13,mid,"Active Directory, Linux Rocky, MySQL, Red Hat, VMware, Veeam, Windows Server",,full_time,hybrid,Any,12000.0-15000.0,True,mazowieckie,Warszawa,Syta 68A,False,True,2025-02-26 09:30:13.105000+00:00
Media4U,PHP Programmer,3,mid,"Git, MySQL, PHP 8, PostgreSQL, Solid",,full_time,remote,B2B,8000.0-14000.0,False,łódzkie,Łódź,Henryka Sienkiewicza 72,False,True,2025-02-26 09:24:09.331000+00:00
SCALO,Senior Python Developer (AWS),5,senior,"AWS, Python",,full_time,remote,B2B,23500.0-26880.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-26 09:23:19.835000+00:00
Madiff Sp. z o.o.,.NET Developer,7,mid,".NET Core, .Net, AngularJS, Azure, C#, Git, MsSQL, React",,full_time,hybrid,B2B,16500.0-21000.0,False,mazowieckie,Warszawa,Prosta,False,True,2025-02-26 09:11:03.041000+00:00
makeitright,Test Lead,11,c_level,"Confluence, Jira",,full_time,hybrid,B2B,20160.0-23500.0,False,mazowieckie,Warszawa,Chmielna,False,False,2025-02-26 09:01:45.602000+00:00
Antal Sp. z o.o.,Test Automation Manager,6,senior,Automated Testing,,full_time,hybrid,B2B,150.0-170.0,False,małopolskie,Kraków,centrum,False,False,2025-02-26 09:01:45.602000+00:00
Jit Team,Senior DevOps Engineer,12,senior,"Amazon AWS, Ansible, Docker, Grafana, Kubernetes, Splunk, Terraform",,full_time,hybrid,B2B,17100.0-27300.0,False,mazowieckie,Warszawa,.,False,False,2025-02-26 09:01:45.602000+00:00
emagine Polska,IAM Analyst,18,junior,"IAM, SailPoint IIQ",,full_time,hybrid,B2B,12800.0-15200.0,False,pomorskie,Gdynia,00-000,False,False,2025-02-26 09:01:45.602000+00:00
Kayon,Junior C Embedded Developer,9,junior,"Embedded C, Embedded Systems, Git, Golang, Hardware, IoT, Linux, PoC, Python",,full_time,office,B2B,6500.0-8500.0,False,pomorskie,Gdynia,Aleja Zwycięstwa 96,False,False,2025-02-26 09:01:45.602000+00:00
Holisticon Connect,Senior Bioinformatics Software Engineer,5,senior,"AWS, Amazon AWS, Docker, Kubernetes, PostgreSQL, Python, REST API, RESTful API, Unix",,full_time,remote,B2B,26880.0-31920.0,False,dolnośląskie,Wrocław,Fabryczna 6,False,True,2025-02-26 09:01:45.602000+00:00
Reply Polska Sp. z o. o.,Fullstack Developer with Java (B2B),6,mid,"Java, React, Spring Batch",,full_time,hybrid,B2B,12000.0-16000.0,False,śląskie,Katowice,Wrocławska 54,False,False,2025-02-26 09:01:45.602000+00:00
Reply Polska Sp. z o. o.,Frontend Developer with Angular (B2B),1,mid,"Angular, Java, Redux, TypeScript",,full_time,hybrid,B2B,12000.0-21600.0,False,śląskie,Katowice,Wrocławska 54,False,False,2025-02-26 09:01:45.602000+00:00
7N,Salesforce Marketing Cloud Application Consultant,24,mid,"English, Salesforce Marketing Cloud, marketing automation",,full_time,remote,B2B,23520.0-28560.0,False,pomorskie,Gdańsk,Przymorze,False,True,2025-02-26 09:01:45.602000+00:00
Experis Manpower Group,Project Manager (Splunk),15,senior,"Big Data, English, PMP, Project Management, Splunk",,full_time,remote,Permanent,14000.0-16000.0,True,małopolskie,Kraków,Kraków,False,True,2025-02-26 09:01:45.602000+00:00
H2B Group,Cloud Data Architect,19,senior,"Apache Spark, Azure, Databricks, ETL, Power BI, PySpark, Python, SQL",,full_time,remote,B2B,28800.0-32000.0,False,pomorskie,Gdańsk,Abrahama 1A,False,True,2025-02-26 09:01:45.602000+00:00
Experis ManpowerGroup,SAS Support Analyst,21,mid,"Bash, IT Support, Linux, Python, SAS",,full_time,remote,B2B,20160.0-25200.0,False,mazowieckie,Warszawa,Warszawa,True,False,2025-02-26 09:01:45.602000+00:00
Macrobond Financial,IT Engineer,13,mid,"Azure, Microsoft 365, Powershell",,full_time,hybrid,Permanent,7000.0-10000.0,True,zachodniopomorskie,Szczecin,Jacka Malczewskiego 26,True,False,2025-02-26 09:01:45.602000+00:00
Experis Manpower Group,Fullstack Developer (Golang + Angular),1,senior,"AWS, Angular, Docker, GCP, Git & GitHub, Golang, Node.js, REST API, SQL, TypeScript/JS",,full_time,remote,B2B,25200.0-31920.0,False,mazowieckie,Warszawa,Prosta 68,False,True,2025-02-26 09:01:45.602000+00:00
ITDS,Splunk SME,12,senior,"Grafana, Python, Splunk",,full_time,hybrid,B2B,21000.0-26880.0,False,małopolskie,Kraków,Kapelanka 42A,False,True,2025-02-26 09:01:45.602000+00:00
STS,Digital Analytics Engineer,17,senior,"BigQuery, CSS, GTM, Google Analytics, Google Tag Manager, HTML, JavaScript, SQL",,full_time,hybrid,B2B,14000.0-19000.0,False,śląskie,Katowice,,False,False,2025-02-26 09:01:45.602000+00:00
SoftForYou,Data Engineer,19,mid,"Airflow, Data modeling, Git, Python, SQL",,full_time,remote,B2B,9000.0-13000.0,False,łódzkie,Poland (Remote),Onlline,False,True,2025-02-26 09:01:45.602000+00:00
Link Group,Technical Content Designer (AWS & SharePoint),14,senior,"AWS, UX Design, UX Research",,full_time,hybrid,B2B,20000.0-24000.0,False,mazowieckie,Warszawa,Al. Jerozolimskie 142A,False,True,2025-02-26 09:01:45.602000+00:00
iTeamly,Java Fullstack Developer (Angular),6,senior,"Angular, Java, MySQL, Oracle, Spring Boot",,full_time,hybrid,B2B,20000.0-26000.0,False,dolnośląskie,Warszawa,Armii krajowej,False,True,2025-02-26 09:01:45.602000+00:00
Xebia sp. z o.o.,👉 Core Web Vitals Expert,1,senior,"CSS3, Core Web Vitals, HTML5, JavaScript",,full_time,remote,B2B,17000.0-23000.0,False,dolnośląskie,Wrocław,Sucha 3,False,True,2025-02-26 09:01:45.602000+00:00
Avenga,Senior .NET Developer,7,senior,".Net, ASP.NET Core, Azure DevOps, Azure Search, C#, Kubernetes, Octopus Deploy, RabbitMQ",,full_time,remote,B2B,20160.0-25200.0,False,małopolskie,Kraków,Generała Bohdana Zielińskiego 22,False,False,2025-02-26 09:01:45.602000+00:00
Schenker Technology Center Warsaw,RPA developer,25,mid,"Blue Prism, ChatGPT, Kofax RPA, Python, R, SQL, UI Path",,full_time,hybrid,B2B,16000.0-24000.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16C,True,True,2025-02-26 09:01:45.602000+00:00
PQ Software,Full Stack Developer,1,mid,"MySQL, Nest.js, Node.js, React, Tailwind CSS, shadcn",,full_time,remote,B2B,10000.0-16000.0,False,zachodniopomorskie,Szczecin,Centrum,False,True,2025-02-26 09:01:45.602000+00:00
Experis Manpower Group,DevSecOps Engineer,12,senior,"Ansible, CI/CD, Docker, English, Kubernetes, Scripting, Security, Terraform",,full_time,hybrid,B2B,26880.0-31250.0,False,dolnośląskie,Wrocław,Wrocław,False,True,2025-02-26 09:01:45.602000+00:00
Aplikacje Krytyczne,Kierownik Zespołu Reagowania,18,senior,Cybersecurity,,full_time,hybrid,Permanent,18000.0-23000.0,True,mazowieckie,Warszawa,Chmielna 132/134,False,True,2025-02-26 09:01:45.602000+00:00
ER Group,WebMethods Developer,24,mid,"MySQL, PostgreSQL, SAG, webMethods",,full_time,remote,B2B,15000.0-17000.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie,False,True,2025-02-26 09:01:45.602000+00:00
Aristocrat Interactive,Database Developer,19,senior,"Databases, English, Git, MySQL, T-SQL",,full_time,hybrid,B2B,20000.0-30000.0,False,małopolskie,Kraków,al. 29 Listopada 20,True,True,2025-02-26 09:01:45.602000+00:00
Reply Polska Sp. z o. o.,Junior Application Developer (UoP),22,junior,"Apex, SOQL, Salesforce",,full_time,hybrid,Permanent,5000.0-9000.0,True,śląskie,Katowice,Wrocławska 54,False,True,2025-02-26 09:01:45.602000+00:00
Experis Manpower Group,MS Dynamics 365 Senior F&O Architect,23,senior,"AI, C/AL, FI&CO, MS Dynamics 365, SCO, X++, finance",,Undetermined,remote,B2B,26880.0-34440.0,False,dolnośląskie,Wrocław,Stare Miasto,False,True,2025-02-26 09:01:45.602000+00:00
Experis ManpowerGroup,Senior Java Fullstack Developer (React),6,senior,"Azure, Cucumber, GitLab, JUnit, Java 11, Kubernetes, Maven, Mockito, Oracle, React",,Undetermined,remote,B2B,26880.0-30580.0,False,małopolskie,Kraków,Kraków,False,True,2025-02-26 09:01:45.602000+00:00
Experis ManpowerGroup,Senior SAP EWM Consultant,22,senior,"Business Analysis, Business Development, Implementation Management, SAP, SAP EWM, SAP WM, process improvement",,full_time,remote,B2B,40320.0-43680.0,False,mazowieckie,Warszawa,Warszawa,False,False,2025-02-26 09:01:45.602000+00:00
Experis ManpowerGroup,Google Cloud Security Consultant,18,mid,"Cloud Security Standards, Cybersecurity, DevOps, Google Cloud Platform, IT Security",,Undetermined,remote,B2B,28560.0-33600.0,False,dolnośląskie,Wrocław,Wrocław,True,False,2025-02-26 09:01:45.602000+00:00
Experis ManpowerGroup,Technical Engineer,18,mid,"English skills, IT Security Knowledge, Network Security, Troubleshooting",,Undetermined,remote,B2B,21500.0-23000.0,False,małopolskie,Kraków,Kraków,False,False,2025-02-26 09:01:45.602000+00:00
Spyrosoft,Line Manager,24,senior,People Management,,full_time,office,B2B,16800.0-29400.0,False,małopolskie,Kraków,Zabłocie 43A,False,False,2025-02-26 08:52:07.712000+00:00
Connectis,Administrator Hurtowni Danych,19,mid,"Linux / Unix, SAS, SQL, Shell",,full_time,hybrid,B2B,15900.0-20000.0,False,mazowieckie,Warszawa,Rondo Daszyńskiego,False,True,2025-02-26 08:45:28.290000+00:00
The Software House,DevOps Engineer,12,mid,"AWS, Azure/GCP, CI/CD, Docker, Kubernetes, Redshift, Terraform",,full_time,remote,B2B,13000.0-20500.0,False,śląskie,Gliwice,Dolnych Wałów 8,False,True,2025-02-26 08:45:14.880000+00:00
PeopleTrust Sp. z o.o.,Technical Project Manager - Migracja Oracle Forms -> Java,15,mid,Project Management,,full_time,remote,B2B,24000.0-26500.0,False,kujawsko-pomorskie,Toruń,,False,True,2025-02-26 08:39:45.520000+00:00
I-BS.pl Sp. z o.o.,Specjalista ds. UX/UI,14,mid,"Figma, UI Design, UX Design",,full_time,remote,B2B,7000.0-10000.0,False,podkarpackie,Rzeszów,,False,True,2025-02-26 08:28:49.794000+00:00
Experis Manpower Group,Node.js Developer,1,mid,"AWS, English, Node.js, Polish, Python",,full_time,remote,B2B,21840.0-23520.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-26 08:00:29.114000+00:00
7N,Data Architect (low-code platform),23,mid,"ETL, Hadoop, Kafka, Low-code platform, MS SQL, MS SQL Server",,full_time,hybrid,B2B,23520.0-28560.0,False,mazowieckie,Warszawa,Centrum,False,True,2025-02-26 08:00:29.114000+00:00
7N,Vue Developer (Mid),1,mid,"Electron, Pinia, TypeScript, Vite, Vue.js",,full_time,hybrid,B2B,19320.0-22680.0,False,mazowieckie,Warszawa,Mokotów,False,True,2025-02-26 08:00:29.114000+00:00
Reply Polska Sp. z o. o.,Junior Fullstack Developer (UoP),6,junior,"Java, React, Spring Batch",,full_time,hybrid,Permanent,6000.0-9000.0,True,śląskie,Katowice,Wrocławska 54,False,False,2025-02-26 08:00:29.114000+00:00
RITS Professional Services,Senior C++ Developer,24,senior,"C++, Data structure, Git, Multithreaded programming, OOP, SQL",,full_time,remote,B2B,35000.0-40000.0,False,mazowieckie,Warszawa,Warsaw,False,True,2025-02-26 08:00:29.114000+00:00
Reply Polska Sp. z o. o.,Fullstack Developer with Java (UoP),6,mid,"Java, React, Spring Batch",,full_time,hybrid,Permanent,7000.0-13000.0,True,śląskie,Katowice,Wrocławska 54,False,False,2025-02-26 08:00:29.114000+00:00
Reply Polska,Frontend Developer with Angular (UoP),1,mid,"Angular, Java, Redux, TypeScript",,full_time,hybrid,Permanent,9000.0-19000.0,True,śląskie,Katowice,Wrocławska 54,False,False,2025-02-26 08:00:29.114000+00:00
Pandadoc,Senior Python Engineer (Technology Hub),5,senior,"AWS, Django, Gradle, Java, K8S, Kafka, Python, RabbitMQ, Spring Boot, asyncio",,full_time,remote,Permanent,27000.0-32000.0,True,mazowieckie,Warszawa,,False,False,2025-02-26 08:00:29.114000+00:00
Tooploox,Senior LLM Engineer,5,senior,"Deep Learning, LLM, Machine Learning, NLP, Python",,full_time,remote,B2B,18000.0-22000.0,False,dolnośląskie,Wrocław,Tęczowa 7,False,True,2025-02-26 08:00:29.114000+00:00
7N,Junior Customer Service Manager,21,junior,"Agile, ITIL",,full_time,hybrid,B2B,10920.0-13440.0,False,małopolskie,Kraków,Stanisława Klimeckiego 1,False,True,2025-02-26 08:00:29.114000+00:00
Link Group,AWS Specialist with AI expertise,5,mid,"AI, AWS, Bedrock, Machine Learning, OpenSearch, PostgreSQL, Python, RDS postgres, SQL, Textract",,full_time,remote,B2B,18000.0-26000.0,False,mazowieckie,Warszawa,,False,False,2025-02-26 08:00:29.114000+00:00
Jit Team,Senior Azure DevOps Specialist,12,senior,"Active Directory, Azure, MsSQL, Powershell, Python, Terraform, Windows Server",,full_time,hybrid,B2B,18900.0-25200.0,False,mazowieckie,Warszawa,.,False,False,2025-02-26 08:00:29.114000+00:00
ITDS,"Automation Tester (C#, Selenium)",11,mid,"Apache JMeter, Bitbucket, C#, Git, Jenkins, SQL, Selenium",,full_time,remote,B2B,12000.0-16000.0,False,łódzkie,Łódź,.,False,True,2025-02-26 08:00:29.114000+00:00
Agencja Interaktywna MDA,WordPress Developer,14,mid,"BEM, Figma, Git, WooCommerce, WordPress",,full_time,office,B2B,9000.0-13000.0,False,wielkopolskie,Poznań,Górnicza 2,False,True,2025-02-26 08:00:29.114000+00:00
H2B Group,React Native Developer,24,mid,React Native,,full_time,remote,B2B,18400.0-20000.0,False,pomorskie,Gdańsk,Abrahama 1A,False,False,2025-02-26 08:00:29.114000+00:00
Holisticon Connect,Platform Engineer,12,senior,"AWS, Airflow, Amazon AWS, DevOps, Docker, Kubernetes, Terraform",,full_time,remote,B2B,25200.0-28560.0,False,dolnośląskie,Wrocław,Fabryczna 6,True,True,2025-02-26 08:00:29.114000+00:00
Limango Polska,Senior Go developer -100% remote possible,20,senior,"AWS, Cloud, Golang",,full_time,remote,B2B,23000.0-26000.0,False,dolnośląskie,Wrocław,,False,False,2025-02-26 08:00:29.114000+00:00
Antal Sp. z o.o.,Cloud Engineer (SnowFlake),12,mid,"Big Data, Cloud, DevOps, SQL, Snowflake",,full_time,hybrid,Permanent,20000.0-25000.0,True,śląskie,Katowice,,False,False,2025-02-26 08:00:29.114000+00:00
Simplicity Recruitment,Senior Backend Engineer (Node.js),1,senior,"Docker, Kafka, Kubernetes, MySQL, Node.js, PostgreSQL, Redis, SQL, TypeScript",,full_time,remote,B2B,23000.0-30000.0,False,mazowieckie,Warszawa,Plac Dąbrowskiego,True,True,2025-02-26 08:00:29.114000+00:00
Holisticon Connect,Full Stack Developer,7,mid,"ASP.NET, ASP.NET Core, Design Patterns, Docker, GitHub, Kubernetes, MS SQL, PostgreSQL, React, TypeScript",,full_time,remote,B2B,18480.0-21840.0,False,dolnośląskie,Wrocław,Fabryczna 6,True,True,2025-02-26 08:00:29.114000+00:00
Top Online,Full-Stack Developer POSZUKIWANY!  🚀 ⭐,1,mid,"AI, CI/CD, Microservices, Next.js, Node.js, PostgreSQL, REST API, React, SEO, SaaS",,full_time,remote,B2B,6000.0-10000.0,False,dolnośląskie,Wrocław,,False,False,2025-02-26 07:47:12.598000+00:00
Research.com,Tester Automatyzujący [Remote],11,mid,"AWS, Astro.js, Docker, Elasticsearch, GraphQL, MariaDB, Nest.js, Node.js, Nuxt.js, strapi",,full_time,remote,B2B,10000.0-15000.0,False,mazowieckie,Warszawa,,False,False,2025-02-26 07:39:08.145000+00:00
Hard Rock Digital,Senior Backend Engineer,6,senior,"AWS, Docker, Java, Kafka, Kubernetes, PostgreSQL, RabbitMQ, Spring Boot",,full_time,remote,B2B,25000.0-30000.0,False,łódzkie,Poland (Remote),,False,False,2025-02-26 07:30:14.754000+00:00
Hard Rock Digital,Staff Mobile Engineer,10,senior,"Android, GraphQL, Java, Mobile Apps, RESTful, React Native, Swift, TypeScript, WebSocket, iOS",,full_time,remote,B2B,30000.0-36000.0,False,łódzkie,Poland (Remote),,False,False,2025-02-26 07:26:08.594000+00:00
Brand Oriented Sp. z o.o.,UX Designer,14,senior,Figma,,full_time,hybrid,B2B,15000.0-20000.0,False,mazowieckie,Warszawa,Okopowa,False,False,2025-02-26 07:21:20.664000+00:00
Emerson Process Management sp. z o. o.,Senior Full Stack Developer,7,senior,".Net, Angular, C#, JavaScript, TypeScript",,full_time,hybrid,Permanent,15000.0-25000.0,True,mazowieckie,Warszawa,Konstruktorska 13,False,False,2025-02-26 07:19:01.833000+00:00
Primaris,Data Bricks Engineer,19,mid,"Azure, Databricks, ETL, PL/SQL, Python, SQL",,full_time,remote,B2B,20160.0-23500.0,False,mazowieckie,Warszawa,Bukowińska 22B,False,True,2025-02-26 07:03:27.751000+00:00
GLS Poland,Administrator Aplikacji,13,mid,"Confluence, Dynatrace, Grafana, Jira, SQL, Zabbix",,full_time,remote,Permanent,10000.0-13000.0,True,wielkopolskie,Głuchowo,Tęczowa 10,False,False,2025-02-26 07:00:50.185000+00:00
NATEK,Fullstack Developer,1,senior,"Angular 15, Java 17, JavaScript, Jenkins, Jest, Kubernetes, RESTful, Spring Boot, TypeScript, nx",,full_time,hybrid,B2B,20000.0-23000.0,False,mazowieckie,Warszawa,",",False,False,2025-02-26 07:00:47.434000+00:00
RITS Professional Services,Frontend Developer (Angular),1,senior,"Angular, CSS, FabricJS, HTML, JavaScript, Open SeaDragon, Threejs, TypeScript",,full_time,remote,B2B,24000.0-27000.0,False,mazowieckie,Warszawa,Żelazna 51,False,False,2025-02-26 07:00:47.434000+00:00
SCALO,System Analyst,17,senior,"BPMN, REST API, UML",,full_time,remote,B2B,22000.0-23500.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie 100,False,False,2025-02-26 07:00:47.434000+00:00
Jit Team,Product Owner / Technical Product Manager,25,senior,"AI, Machine Learning, Python",,full_time,hybrid,B2B,19000.0-27300.0,False,pomorskie,Gdańsk,.,False,False,2025-02-26 07:00:47.434000+00:00
Jit Team,Senior Server Support Specialist,13,senior,"Azure, Linux, VMware, Windows",,full_time,hybrid,B2B,14250.0-20500.0,False,mazowieckie,Warszawa,,False,False,2025-02-26 07:00:47.434000+00:00
KUBO,Senior IT Analyst,17,senior,"Babok, CPRE",,full_time,hybrid,B2B,16500.0-20000.0,False,mazowieckie,Warszawa,centrum,False,False,2025-02-26 06:43:48.070000+00:00
emagine Polska,Senior Azure Cloud Specialist,12,senior,"AWS, Azure, CI/CD, DevOps, GCP, Jira, Python, Terraform",,full_time,hybrid,B2B,20800.0-24000.0,False,mazowieckie,Warszawa,00-000,True,True,2025-02-25 22:01:47.045000+00:00
Talkie,Product Owner,15,mid,"Product Discovery, Team Management, komunikacja, kontakt z klientami, priorytetyzacja, zarządzanie backlogiem",,full_time,remote,Permanent,11500.0-15000.0,True,mazowieckie,Warszawa,Ignacego Krasickiego 47A,False,True,2025-02-25 21:00:21.721000+00:00
Baselinker,PHP Developer (Courier Integrations),3,mid,PHP,,full_time,remote,B2B,17000.0-22000.0,False,dolnośląskie,Wrocław,plac solny,False,False,2025-02-25 20:00:20.560000+00:00
BaseLinker,PHP Developer,3,mid,"Git, JavaScript, Magento, MySQL, PHP, PHPUnit, REST API, WooCommerce",,full_time,remote,B2B,17000.0-22000.0,False,pomorskie,Gdańsk,Centrum,False,True,2025-02-25 20:00:20.560000+00:00
7N,Devops/DevSecOps,12,senior,"Ansible, Grafana, Kubernetes, Prometheus, Terraform, cicd",,full_time,hybrid,B2B,23520.0-28880.0,False,mazowieckie,Warszawa,Centrum,False,False,2025-02-25 19:01:05.601000+00:00
7N,web/mobile .NET Dev (Maui+Ionic),7,mid,".NET C#, .Net, Angular, C#, Ionic, MAUI",,full_time,hybrid,B2B,21840.0-24360.0,False,mazowieckie,Warszawa,Centrum,False,False,2025-02-25 19:01:05.601000+00:00
People More P.S.A.,DevOps Engineer,12,mid,"Ceph, Docker, ELK Stack, Git, Jenkins, Kubernetes, PostgreSQL, Prometheus, Python, Terraform",,full_time,remote,B2B,20000.0-30000.0,False,małopolskie,Kraków,center,False,True,2025-02-25 18:50:44.896000+00:00
Stats Perform,Principal Database Engineer,19,senior,"AWS, Linux, MS SQL, MySQL, Oracle, PostgreSQL, Python",,full_time,hybrid,Permanent,15000.0-24000.0,True,śląskie,Katowice,Żelazna 4,False,True,2025-02-25 18:47:35.509000+00:00
Prosit AS,Developer who likes to GO,20,mid,"Analytical Thinking, DevOps, English, Git, Golang, GraphQL, Kubernetes, PostgreSQL, REST API",,full_time,remote,B2B,23000.0-26000.0,False,śląskie,Rybnik,Jana Pojdy 14d,True,True,2025-02-25 18:01:40.092000+00:00
Survicate,IT Systems & Security Administrator,18,mid,"IT Security, Vulnerability Management",,full_time,hybrid,B2B,9000.0-14000.0,False,mazowieckie,Warszawa,Przyrynek 14,True,True,2025-02-25 18:01:40.092000+00:00
RedStone,Senior Backend / System Engineer at RedStone,1,senior,"Amazon AWS, Docker, GCP, GitHub, Grafana, InfluxDB, Node.js, Terraform, TypeScript",,full_time,hybrid,B2B,25000.0-40000.0,False,mazowieckie,Warszawa,Zgoda 3,True,True,2025-02-25 18:01:40.092000+00:00
the.good.code;,Senior Fullstack Java Developer,6,senior,"Angular, Java, JavaScript, SpringBoot, TypeScript",,full_time,remote,B2B,20800.0-27200.0,False,pomorskie,Gdańsk,Lęborska 3B,True,True,2025-02-25 17:01:05.738000+00:00
Addepto,Senior Full Stack Engineer (C#),25,senior,".Net, Blazor, C#, CSS, Cloud, HTML, JavaScript, Python, RESTful API, Telerik",,full_time,remote,B2B,17640.0-25200.0,False,mazowieckie,Warszawa,Tadeusza Czackiego 15/17,True,True,2025-02-25 17:00:15.435000+00:00
Addepto,Senior Full Stack Engineer C# (AI Team),1,senior,".Net, Blazor, C#, CSS, Cloud, HTML, JavaScript, Python, RESTful API, Telerik",,full_time,remote,B2B,17640.0-25200.0,False,mazowieckie,Warszawa,Tadeusza Czackiego 15/17,True,True,2025-02-25 17:00:15.435000+00:00
Loopme,Technical Product Manager - DSP,15,senior,"Data-Driven Decision-Making, Market research, Product Strategy & Roadmap, Project Management, Stakeholder Collaboration, Technical leadership",,full_time,hybrid,B2B,17000.0-19500.0,False,małopolskie,Kraków,Wadowicka 3a,True,True,2025-02-25 17:00:15.435000+00:00
Tooploox,Senior LLM Engineer,25,senior,"Deep Learning, LLM, Machine Learning, NLP, Python",,full_time,remote,B2B,18000.0-22000.0,False,dolnośląskie,Wrocław,Tęczowa 7,False,True,2025-02-25 17:00:15.435000+00:00
DCV Technologies,Middle Site Reliability Engineer,12,mid,"Apache Tomcat, DB2, Docker, Kubernetes, Linux, MySQL, NGNIX, Networking skills, Oracle, Splunk",,full_time,hybrid,B2B,19000.0-21000.0,False,mazowieckie,Warszawa,Warsaw,False,False,2025-02-25 17:00:15.435000+00:00
Addepto,Data Scientist,25,senior,"AI, Azure, Computer Vision, Data Science, GenAI, LLMs, Message brokers, Python, Time-series databases",,full_time,remote,B2B,14280.0-26880.0,False,mazowieckie,Warszawa,Tadeusza Czackiego 15/17,True,True,2025-02-25 17:00:15.435000+00:00
7N,ETL/IPC Developer,19,mid,"Big Data, Business Intelligence, ETL, Informatica Powercenter, SQL",,full_time,remote,B2B,20160.0-22180.0,False,mazowieckie,Warszawa,Centrum,False,True,2025-02-25 17:00:15.435000+00:00
Addepto,Junior Data Engineer (Power BI),19,junior,"Azure, ETL/ELT, English, Power BI, Python, SQL",,full_time,remote,B2B,7560.0-12600.0,False,mazowieckie,Warszawa,Tadeusza Czackiego 15/17,True,True,2025-02-25 17:00:15.435000+00:00
the.good.code;,Senior Fullstack Java Developer,1,senior,"Angular, Java, JavaScript, SpringBoot, TypeScript",,full_time,remote,B2B,20800.0-27200.0,False,pomorskie,Gdańsk,Lęborska 3B,True,True,2025-02-25 16:01:05.738000+00:00
Harvey Nash Technology,Software Engineer (C++),9,mid,"AWS, Azure, C++, CI/CD, RESTful API, STL",,full_time,hybrid,B2B,20160.0-24400.0,False,łódzkie,Łódź,Lodz,False,True,2025-02-25 16:00:15.760000+00:00
BRAVER IT SPÓŁKA AKCYJNA,Senior Golang Architect,20,senior,"AWS, Docker, Golang, Kubernetes, Temporal.io",,full_time,remote,B2B,32000.0-49000.0,False,małopolskie,Kraków,Armii Krajowej,True,True,2025-02-25 16:00:15.760000+00:00
P&P Solutions,Analityk Systemowy,17,mid,"BPMN, Confluence, Enterprise Architect, Jira, SQL, UML",,full_time,hybrid,B2B,15120.0-18480.0,False,mazowieckie,Warszawa,Warszawa,False,False,2025-02-25 16:00:15.760000+00:00
ITTI,Inżynier rozwoju systemów (C++),9,mid,"Boost, C++, English, Ethernet, Linux, Qt, TCP/IP, TSN",,full_time,hybrid,B2B,10000.0-15000.0,False,wielkopolskie,Poznań,Rubież 46,False,False,2025-02-25 16:00:15.760000+00:00
Controlant,IT Support Technician,21,mid,"English, IT Support, ITSM Ticketing system, M365",,full_time,office,Permanent,8500.0-11500.0,True,dolnośląskie,Wrocław,ks. Piotra Skargi 1,True,True,2025-02-25 16:00:15.760000+00:00
Loopme,Technical Product Manager - Audience & Measurement Platform,15,senior,"Analytical mindset, Project Management, Strategy & Roadmap, Technical leadership",,full_time,hybrid,B2B,17000.0-19500.0,False,małopolskie,Kraków,Wadowicka 3a,True,True,2025-02-25 16:00:15.760000+00:00
